,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture,specialty
33,86.33,Arabica,Other,Caturra,8.17,8.0,8.08,7.83,8.0,10.0,1300.0,0.0,Yes
35,86.25,Arabica,Other,Other,8.08,8.0,8.25,7.92,7.92,10.0,1800.0,0.12,Yes
39,86.17,Arabica,Other,Other,7.67,8.0,8.0,8.17,8.08,10.0,1941.0,0.0,Yes
40,86.17,Arabica,Other,Caturra,7.83,7.83,8.25,7.58,7.92,10.0,1300.0,0.1,Yes
41,86.17,Arabica,Brazil,Other,8.17,7.92,7.75,8.33,8.0,10.0,12.0,0.08,Yes
42,86.17,Arabica,Brazil,Other,8.42,8.0,7.75,7.92,8.0,10.0,12.0,0.01,Yes
43,86.08,Arabica,Taiwan,Bourbon,8.08,7.75,8.08,7.75,7.83,10.0,1000.0,0.12,Yes
44,86.08,Arabica,Other,Other,8.08,8.0,8.0,7.83,8.08,10.0,1754.0,0.11,Yes
45,86.08,Arabica,Brazil,Bourbon,8.33,8.0,8.0,7.75,8.0,10.0,1250.0,0.11,Yes
47,86.0,Arabica,Colombia,Caturra,7.75,7.83,8.08,8.08,8.17,10.0,1200.0,0.12,Yes
48,86.0,Arabica,Other,Other,7.92,7.83,8.5,7.5,7.92,10.0,1860.0,0.11,Yes
49,86.0,Arabica,Other,Other,8.25,7.83,8.08,8.0,7.92,10.0,1650.0,0.1,Yes
53,85.92,Arabica,Other,Other,8.17,7.92,8.08,7.83,7.75,10.0,1650.0,0.12,Yes
54,85.92,Arabica,Colombia,Caturra,8.0,8.0,8.17,7.83,8.0,10.0,1800.0,0.0,Yes
55,85.83,Arabica,Other,Other,8.0,7.92,8.08,7.83,8.0,10.0,1600.0,0.08,Yes
57,85.83,Arabica,Guatemala,Bourbon,7.83,8.0,8.17,7.83,8.0,10.0,1524.0,0.12,Yes
58,85.83,Arabica,Guatemala,Catuai,8.0,7.83,8.33,7.83,7.83,10.0,1417.32,0.1,Yes
62,85.58,Arabica,Other,Bourbon,7.92,8.0,7.92,7.75,7.83,10.0,1500.0,0.1,Yes
63,85.58,Arabica,Other,Bourbon,7.83,8.0,7.75,7.92,8.17,10.0,1350.0,0.11,Yes
65,85.5,Arabica,Other,Caturra,8.0,7.83,7.83,7.67,8.58,10.0,1680.0,0.09,Yes
66,85.5,Arabica,Other,Other,7.92,7.83,8.08,7.83,7.92,10.0,1900.0,0.1,Yes
67,85.5,Arabica,Other,Other,7.83,7.83,7.92,7.83,8.08,10.0,1900.0,0.12,Yes
68,85.5,Arabica,Other,Other,8.33,7.67,7.92,7.67,7.92,10.0,1600.0,0.12,Yes
69,85.5,Arabica,Guatemala,Bourbon,8.0,7.67,8.33,7.83,8.0,10.0,1731.264,0.11,Yes
71,85.42,Arabica,Other,Other,8.08,7.83,7.67,8.0,7.83,10.0,1950.0,0.12,Yes
73,85.42,Arabica,Brazil,Bourbon,8.0,8.0,7.67,7.75,8.0,10.0,1250.0,0.11,Yes
75,85.33,Arabica,Other,Other,8.0,8.0,7.83,7.83,7.75,10.0,1700.0,0.1,Yes
76,85.33,Arabica,Guatemala,Other,7.83,7.83,7.67,7.83,8.58,10.0,1770.0,0.11,Yes
77,85.33,Arabica,Other,Caturra,7.92,8.0,7.92,8.0,8.08,9.33,1300.0,0.0,Yes
78,85.33,Arabica,Other,Caturra,8.0,7.58,7.67,8.08,8.5,10.0,1300.0,0.1,Yes
79,85.33,Arabica,Other,Other,7.83,7.75,8.08,7.92,7.75,10.0,1600.0,0.0,Yes
80,85.33,Arabica,Other,Other,8.0,7.92,8.08,7.83,7.75,10.0,1200.0,0.0,Yes
84,85.25,Arabica,Colombia,Caturra,8.17,7.83,8.0,7.58,7.83,10.0,1550.0,0.11,Yes
85,85.25,Arabica,Colombia,Caturra,7.58,7.92,7.83,8.0,7.92,10.0,1550.0,0.12,Yes
86,85.17,Arabica,Other,Other,7.75,7.67,8.0,8.08,7.83,10.0,1325.0,0.11,Yes
87,85.17,Arabica,Guatemala,Caturra,8.25,7.67,7.92,7.75,7.67,10.0,1400.0,0.0,Yes
89,85.08,Arabica,Colombia,Caturra,8.17,7.58,8.08,8.0,7.75,10.0,2560.0,0.0,Yes
92,85.08,Arabica,Colombia,Caturra,7.83,7.75,7.75,7.83,7.83,10.0,2136.0,0.11,Yes
96,85.0,Arabica,Other,Other,8.17,7.75,7.75,7.67,7.75,10.0,1800.0,0.11,Yes
98,85.0,Arabica,Other,Catuai,7.83,7.58,7.92,7.92,7.83,10.0,1900.0,0.12,Yes
99,85.0,Arabica,Mexico,Typica,7.83,7.83,7.75,7.67,7.83,10.0,1300.0,0.09,Yes
101,85.0,Arabica,Other,Other,7.75,7.75,8.08,8.0,7.75,10.0,1580.0,0.0,Yes
102,85.0,Arabica,Brazil,Other,8.0,7.83,7.83,7.67,7.67,10.0,1100.0,0.12,Yes
103,85.0,Arabica,Mexico,Other,7.92,7.75,8.08,7.42,7.83,10.0,1400.0,0.0,Yes
107,84.92,Arabica,Colombia,Caturra,7.92,7.75,7.83,7.75,8.0,10.0,1775.0,0.12,Yes
108,84.92,Arabica,Taiwan,Typica,7.67,8.0,7.58,8.0,7.92,10.0,800.0,0.11,Yes
109,84.92,Arabica,Other,Other,8.0,7.83,7.92,7.75,7.75,10.0,1620.0,0.12,Yes
110,84.92,Arabica,Colombia,Caturra,7.75,7.83,7.75,7.75,8.0,10.0,1775.0,0.11,Yes
111,84.92,Arabica,Mexico,Typica,7.75,7.75,7.83,7.5,7.92,10.0,1200.0,0.11,Yes
112,84.92,Arabica,Brazil,Bourbon,8.0,7.75,7.75,8.0,7.75,10.0,1200.0,0.11,Yes
113,84.92,Arabica,Brazil,Catuai,8.0,7.75,8.0,7.5,7.75,10.0,1000.0,0.12,Yes
115,84.83,Arabica,Taiwan,Typica,7.92,7.83,7.83,7.83,7.83,10.0,350.0,0.0,Yes
116,84.83,Arabica,Other,Other,7.75,7.67,7.67,8.25,7.75,10.0,1650.0,0.12,Yes
121,84.75,Arabica,Other,Other,7.92,7.58,7.92,7.75,7.83,10.0,1800.0,0.13,Yes
122,84.75,Arabica,Other,Catuai,7.83,8.0,7.67,7.67,7.67,10.0,1450.0,0.11,Yes
125,84.67,Arabica,Other,Bourbon,7.83,7.5,8.0,7.83,7.67,10.0,1350.0,0.0,Yes
126,84.67,Arabica,Other,Other,7.92,7.75,7.75,7.75,7.75,10.0,1200.0,0.12,Yes
127,84.67,Arabica,Other,Other,7.75,7.75,7.42,8.08,7.83,10.0,170.0,0.12,Yes
128,84.67,Arabica,Other,Catuai,8.08,7.67,7.83,7.5,7.92,10.0,1150.0,0.1,Yes
129,84.67,Arabica,Guatemala,Bourbon,7.75,7.58,8.0,7.92,7.75,10.0,1600.0,0.1,Yes
130,84.67,Arabica,Other,Caturra,8.17,7.83,7.17,7.83,7.75,10.0,1750.0,0.12,Yes
131,84.67,Arabica,Other,Other,8.08,7.75,7.83,7.58,7.67,10.0,1900.0,0.1,Yes
132,84.67,Arabica,Other,Other,7.67,7.75,7.75,7.67,8.58,10.0,1750.0,0.08,Yes
133,84.67,Arabica,Other,Catuai,8.0,7.83,7.75,7.75,7.75,10.0,1200.0,0.11,Yes
135,84.67,Arabica,Taiwan,Typica,8.0,7.75,7.75,7.75,7.75,10.0,1000.0,0.11,Yes
136,84.67,Arabica,Colombia,Caturra,7.75,7.75,7.83,7.75,7.83,10.0,1550.0,0.0,Yes
137,84.67,Arabica,Other,Other,7.75,7.83,8.0,7.58,7.75,10.0,2000.0,0.11,Yes
138,84.67,Arabica,Guatemala,Bourbon,8.0,7.67,7.83,7.67,8.0,10.0,1310.64,0.11,Yes
139,84.67,Arabica,Guatemala,Bourbon,7.67,7.67,8.0,7.67,7.83,10.0,1524.0,0.12,Yes
140,84.67,Arabica,Mexico,Typica,7.83,7.67,7.92,7.92,7.83,10.0,1200.0,0.13,Yes
141,84.67,Arabica,Other,Other,7.92,7.75,7.92,7.67,7.75,10.0,1775.0,0.11,Yes
144,84.58,Arabica,Other,Other,7.92,7.83,7.75,7.58,7.92,10.0,1754.0,0.11,Yes
145,84.58,Arabica,Colombia,Other,7.83,7.58,7.92,7.67,7.83,10.0,1500.0,0.0,Yes
147,84.58,Arabica,Other,Other,7.83,7.83,7.75,7.58,7.83,10.0,1800.0,0.1,Yes
148,84.58,Arabica,Guatemala,Other,7.75,7.67,7.92,7.75,7.83,10.0,1524.0,0.11,Yes
149,84.58,Arabica,Guatemala,Bourbon,8.0,7.67,7.58,7.58,7.67,10.0,1219.2,0.09,Yes
150,84.58,Arabica,Colombia,Caturra,7.67,7.58,7.75,7.58,8.5,10.0,1550.0,0.0,Yes
151,84.58,Arabica,Colombia,Caturra,7.75,7.83,7.75,7.58,8.0,10.0,1750.0,0.0,Yes
153,84.58,Arabica,Colombia,Caturra,7.67,7.83,8.0,7.58,7.92,10.0,1750.0,0.0,Yes
154,84.58,Arabica,Other,Bourbon,7.75,7.75,8.0,7.83,7.67,10.0,1575.0,0.12,Yes
155,84.58,Arabica,Colombia,Caturra,7.42,7.75,7.75,8.08,7.83,10.0,1800.0,0.11,Yes
156,84.58,Arabica,Brazil,Bourbon,8.0,7.75,7.75,7.58,7.75,10.0,1300.0,0.12,Yes
157,84.58,Arabica,Brazil,Catuai,8.5,7.5,7.75,7.5,7.83,10.0,1100.0,0.11,Yes
158,84.5,Arabica,Other,Caturra,7.92,7.92,7.75,7.67,7.58,10.0,1200.0,0.1,Yes
159,84.5,Arabica,Other,Other,7.92,7.67,7.75,7.83,7.75,10.0,1750.0,0.11,Yes
160,84.5,Arabica,Other,Other,7.75,7.67,7.83,7.75,7.67,10.0,1680.0,0.1,Yes
161,84.5,Arabica,Other,Caturra,7.92,7.83,7.83,7.58,7.58,10.0,1700.0,0.11,Yes
162,84.5,Arabica,Colombia,Other,8.08,7.83,7.83,7.67,7.67,10.0,1800.0,0.12,Yes
163,84.5,Arabica,Other,Other,7.67,7.75,7.83,7.75,7.58,10.0,1100.0,0.0,Yes
164,84.5,Arabica,Guatemala,Bourbon,8.17,7.67,7.83,7.67,7.83,10.0,1310.64,0.11,Yes
165,84.5,Arabica,Other,Other,7.92,7.67,8.0,7.67,7.75,10.0,2000.0,0.11,Yes
166,84.5,Arabica,Mexico,Typica,8.0,7.42,8.08,7.5,7.67,10.0,1350.0,0.12,Yes
167,84.5,Arabica,Mexico,Typica,7.92,7.75,7.75,7.75,7.83,10.0,1500.0,0.11,Yes
171,84.42,Arabica,Other,Caturra,7.58,7.83,8.0,7.67,7.58,10.0,1300.0,0.1,Yes
172,84.42,Arabica,Other,Other,7.67,7.83,7.58,7.83,7.83,10.0,1400.0,0.0,Yes
174,84.42,Arabica,Colombia,Caturra,7.92,7.67,7.92,7.67,7.75,10.0,1775.0,0.0,Yes
175,84.42,Arabica,Taiwan,Typica,7.83,7.75,8.0,7.5,7.75,10.0,1200.0,0.11,Yes
177,84.42,Arabica,Mexico,Other,7.75,7.75,7.67,7.83,7.67,10.0,900.0,0.12,Yes
179,84.33,Arabica,Other,Other,7.33,7.83,7.75,7.75,7.92,10.0,1800.0,0.11,Yes
180,84.33,Arabica,Other,Caturra,7.92,7.75,7.67,7.67,7.75,10.0,1500.0,0.1,Yes
182,84.33,Arabica,Other,Catuai,7.58,7.58,7.75,7.92,7.75,10.0,1500.0,0.11,Yes
184,84.33,Arabica,Colombia,Caturra,7.75,8.0,7.67,8.08,7.83,10.0,442.0,0.11,Yes
185,84.33,Arabica,Colombia,Caturra,7.75,7.33,7.83,7.58,8.08,10.0,1800.0,0.0,Yes
186,84.33,Arabica,Mexico,Typica,8.0,7.75,7.83,7.5,7.67,10.0,1700.0,0.12,Yes
187,84.33,Arabica,Brazil,Other,8.17,7.5,7.75,7.5,7.67,10.0,1275.0,0.0,Yes
191,84.25,Arabica,Taiwan,Typica,7.92,7.75,7.67,7.67,7.83,10.0,1000.0,0.12,Yes
192,84.25,Arabica,Other,Other,7.83,7.75,7.42,7.83,7.67,10.0,1200.0,0.12,Yes
193,84.25,Arabica,Colombia,Caturra,7.83,7.75,7.58,7.67,8.0,10.0,2560.0,0.11,Yes
194,84.25,Arabica,Guatemala,Caturra,7.75,7.58,7.92,7.75,7.75,10.0,1500.0,0.11,Yes
195,84.25,Arabica,Guatemala,Caturra,7.75,7.5,8.08,7.58,7.67,10.0,1099.4136,0.1,Yes
196,84.25,Arabica,Other,Other,7.83,7.58,7.75,7.75,7.75,10.0,1400.0,0.1,Yes
197,84.25,Arabica,Colombia,Caturra,7.67,7.75,7.75,7.67,7.92,10.0,1775.0,0.11,Yes
198,84.25,Arabica,Colombia,Caturra,7.83,7.75,7.58,7.92,7.75,10.0,1775.0,0.12,Yes
199,84.25,Arabica,Colombia,Other,7.83,7.83,7.58,7.67,7.75,10.0,1800.0,0.12,Yes
200,84.25,Arabica,Colombia,Caturra,7.42,7.83,7.75,7.92,7.83,10.0,442.0,0.12,Yes
201,84.25,Arabica,Other,Other,7.83,7.75,7.83,7.67,7.67,10.0,1620.0,0.12,Yes
202,84.25,Arabica,Other,Other,7.83,7.75,7.75,7.67,7.75,10.0,1600.0,0.12,Yes
203,84.25,Arabica,Guatemala,Bourbon,7.83,7.5,7.92,7.58,7.75,10.0,1219.2,0.1,Yes
204,84.25,Arabica,Colombia,Caturra,7.58,7.75,7.83,7.92,7.83,10.0,1700.0,0.11,Yes
206,84.25,Arabica,Mexico,Typica,7.83,7.67,7.83,7.5,7.75,10.0,1450.0,0.12,Yes
207,84.25,Arabica,Mexico,Bourbon,7.83,7.75,7.67,7.83,7.58,10.0,1170.0,0.12,Yes
208,84.25,Arabica,Mexico,Bourbon,7.83,7.67,7.75,7.5,7.75,10.0,1400.0,0.1,Yes
209,84.25,Arabica,Other,Other,8.17,7.58,7.67,7.83,7.58,10.0,1700.0,0.13,Yes
210,84.17,Arabica,Guatemala,Bourbon,7.75,7.58,7.83,7.67,7.75,10.0,1700.0,0.13,Yes
212,84.17,Arabica,Other,Caturra,7.92,7.67,7.67,7.5,7.67,10.0,1700.0,0.09,Yes
213,84.17,Arabica,Guatemala,Caturra,7.75,7.58,8.0,7.67,7.83,10.0,1116.7872,0.11,Yes
214,84.17,Arabica,Guatemala,Caturra,7.75,7.58,7.92,7.67,7.67,10.0,1565.0,0.1,Yes
215,84.17,Arabica,Guatemala,Bourbon,7.58,7.58,7.83,7.83,7.67,10.0,3280.0,0.1,Yes
216,84.17,Arabica,Colombia,Caturra,8.0,7.5,7.67,8.0,7.83,10.0,1775.0,0.0,Yes
217,84.17,Arabica,Other,Caturra,7.67,7.83,7.5,7.67,7.83,10.0,1000.0,0.12,Yes
218,84.17,Arabica,Brazil,Catuai,7.67,7.75,7.67,7.83,7.75,10.0,1150.0,0.0,Yes
219,84.17,Arabica,Other,Caturra,7.67,7.67,7.75,7.5,8.0,10.0,1850.0,0.0,Yes
220,84.17,Arabica,Other,Other,7.5,7.58,7.83,7.75,7.83,10.0,1606.5,0.1,Yes
221,84.17,Arabica,Other,Other,7.92,7.75,7.75,7.75,7.58,10.0,1400.0,0.13,Yes
222,84.17,Arabica,Colombia,Other,7.67,7.67,7.42,7.83,8.58,10.0,1530.0,0.12,Yes
224,84.17,Arabica,Other,Other,7.58,7.75,7.75,7.75,7.83,10.0,250.5,0.08,Yes
225,84.17,Arabica,Brazil,Other,7.58,7.75,7.67,7.67,8.0,10.0,1038.5,0.11,Yes
226,84.17,Arabica,Guatemala,Bourbon,7.92,7.67,7.67,7.83,7.92,10.0,1310.64,0.11,Yes
227,84.17,Arabica,Other,Bourbon,8.42,7.5,7.17,7.58,8.17,10.0,1500.0,0.11,Yes
228,84.17,Arabica,Colombia,Caturra,7.75,7.75,7.75,7.83,7.75,10.0,1750.0,0.0,Yes
230,84.17,Arabica,Other,Other,7.83,7.5,7.83,7.83,7.75,10.0,1600.0,0.11,Yes
232,84.08,Arabica,Colombia,Caturra,7.83,7.42,7.5,7.83,8.5,10.0,442.0,0.0,Yes
233,84.08,Arabica,Taiwan,Typica,7.58,7.67,7.67,7.75,7.83,10.0,968.0,0.1,Yes
235,84.08,Arabica,Colombia,Caturra,7.92,7.67,7.75,7.67,7.67,10.0,1775.0,0.0,Yes
236,84.08,Arabica,Guatemala,Bourbon,7.58,7.67,8.0,7.75,7.67,10.0,1550.0,0.1,Yes
238,84.08,Arabica,Mexico,Typica,7.67,7.67,7.75,7.67,7.75,10.0,1480.0,0.11,Yes
239,84.08,Arabica,Other,Other,7.92,7.83,8.0,7.92,7.92,8.67,1800.0,0.09,Yes
241,84.0,Arabica,Other,Other,7.83,7.67,7.75,7.33,7.75,10.0,1800.0,0.11,Yes
242,84.0,Arabica,Other,Caturra,7.42,7.75,7.92,7.75,7.58,10.0,1500.0,0.1,Yes
243,84.0,Arabica,Guatemala,Caturra,7.67,7.58,7.92,7.75,7.67,10.0,1706.88,0.12,Yes
244,84.0,Arabica,Colombia,Other,7.67,7.83,7.58,7.58,7.83,10.0,1600.0,0.11,Yes
245,84.0,Arabica,Guatemala,Bourbon,7.92,7.42,7.92,7.75,7.83,10.0,1219.2,0.1,Yes
246,84.0,Arabica,Guatemala,Bourbon,7.75,7.5,7.83,7.58,7.67,10.0,1219.2,0.1,Yes
248,84.0,Arabica,Colombia,Caturra,7.58,7.75,7.92,7.75,7.92,10.0,1450.0,0.12,Yes
249,84.0,Arabica,Colombia,Caturra,7.67,7.5,7.5,7.67,7.67,10.0,1775.0,0.12,Yes
250,84.0,Arabica,Other,Other,7.75,7.5,7.58,7.67,7.92,10.0,1550.0,0.09,Yes
251,84.0,Arabica,Brazil,Other,7.58,7.67,7.25,8.0,7.75,10.0,1260.0,0.1,Yes
252,84.0,Arabica,Colombia,Caturra,7.67,7.67,7.75,7.67,7.75,10.0,1700.0,0.11,Yes
253,84.0,Arabica,Other,Other,7.67,7.5,7.75,7.92,7.67,10.0,1200.0,0.0,Yes
255,84.0,Arabica,Other,Other,7.67,7.67,7.75,7.83,7.67,10.0,1650.0,0.0,Yes
256,84.0,Arabica,Other,Other,7.92,7.58,7.67,7.67,7.83,10.0,1700.0,0.1,Yes
258,83.92,Arabica,Brazil,Bourbon,7.5,7.58,7.5,7.58,7.5,10.0,890.0,0.0,Yes
259,83.92,Arabica,Mexico,Other,7.83,7.58,7.92,7.42,7.5,10.0,1300.0,0.11,Yes
260,83.92,Arabica,Other,Other,7.67,7.5,7.67,7.67,7.83,10.0,1350.0,0.1,Yes
261,83.92,Arabica,Brazil,Bourbon,7.58,7.67,7.75,7.58,7.83,10.0,934.0,0.11,Yes
262,83.92,Arabica,Taiwan,Typica,7.83,7.83,7.75,7.83,7.75,10.0,1200.0,0.11,Yes
268,83.92,Arabica,Colombia,Caturra,7.75,7.67,7.83,7.83,7.67,10.0,1775.0,0.0,Yes
269,83.92,Arabica,Taiwan,Typica,8.0,7.92,7.92,7.67,7.33,10.0,950.0,0.06,Yes
270,83.92,Arabica,Colombia,Caturra,7.67,7.67,7.75,7.67,7.83,10.0,1550.0,0.12,Yes
271,83.92,Arabica,Mexico,Typica,7.67,7.58,7.67,7.75,7.83,10.0,900.0,0.12,Yes
272,83.92,Arabica,Mexico,Typica,7.5,7.58,7.83,7.75,7.75,10.0,1500.0,0.11,Yes
273,83.92,Arabica,Mexico,Typica,7.75,7.83,7.92,7.75,7.67,10.0,1400.0,0.0,Yes
274,83.83,Arabica,Colombia,Caturra,7.92,7.5,7.83,7.58,7.67,10.0,2527.0,0.0,Yes
276,83.83,Arabica,Other,Caturra,7.67,7.75,7.67,7.5,7.75,10.0,1850.0,0.0,Yes
277,83.83,Arabica,Guatemala,Bourbon,7.75,7.5,7.75,7.83,7.58,10.0,1500.0,0.11,Yes
279,83.83,Arabica,Brazil,Other,7.25,7.42,8.0,7.75,7.83,10.0,1.0,0.0,Yes
280,83.83,Arabica,Taiwan,Typica,7.67,7.67,7.75,7.42,7.75,10.0,525.0,0.0,Yes
282,83.83,Arabica,Brazil,Bourbon,7.67,7.58,7.5,7.83,8.17,9.33,1200.0,0.0,Yes
283,83.83,Arabica,Other,Catuai,7.83,7.5,7.83,7.75,7.83,10.0,1300.0,0.1,Yes
284,83.83,Arabica,Guatemala,Bourbon,7.58,7.33,8.0,7.58,7.75,10.0,1219.2,0.1,Yes
285,83.83,Arabica,Brazil,Other,7.92,7.33,7.67,8.17,7.5,10.0,1260.0,0.1,Yes
287,83.83,Arabica,Colombia,Caturra,7.67,7.58,7.83,7.58,7.67,10.0,1750.0,0.11,Yes
288,83.83,Arabica,Guatemala,Bourbon,7.5,7.5,7.83,7.83,7.67,10.0,1310.64,0.11,Yes
289,83.83,Arabica,Mexico,Bourbon,7.67,7.67,7.42,7.67,7.5,10.0,1218.0,0.1,Yes
290,83.83,Arabica,Mexico,Other,7.67,7.5,7.75,7.75,7.75,10.0,1300.0,0.11,Yes
291,83.83,Arabica,Brazil,Other,7.83,7.58,7.67,7.5,7.58,10.0,1250.0,0.12,Yes
295,83.75,Arabica,Other,Other,7.75,7.5,7.58,7.75,7.75,10.0,1800.0,0.11,Yes
296,83.75,Arabica,Brazil,Bourbon,7.67,7.58,7.75,7.67,7.67,10.0,890.0,0.11,Yes
297,83.75,Arabica,Colombia,Caturra,7.83,7.58,7.58,7.58,7.58,10.0,442.0,0.11,Yes
298,83.75,Arabica,Taiwan,Typica,7.67,7.58,7.58,7.67,7.83,10.0,750.0,0.0,Yes
300,83.75,Arabica,Other,Other,7.83,7.67,7.5,7.58,7.67,10.0,1650.0,0.1,Yes
301,83.75,Arabica,Colombia,Caturra,7.75,7.5,7.67,7.58,7.83,10.0,442.0,0.0,Yes
302,83.75,Arabica,Other,Bourbon,8.0,7.58,7.75,7.33,7.5,10.0,1400.0,0.12,Yes
303,83.75,Arabica,Other,Other,7.83,7.83,7.67,8.0,8.17,10.0,853.44,0.12,Yes
304,83.75,Arabica,Colombia,Caturra,7.67,7.67,7.92,7.5,7.67,10.0,1775.0,0.0,Yes
305,83.75,Arabica,Colombia,Other,7.67,7.42,7.42,8.0,8.33,10.0,1550.0,0.0,Yes
306,83.75,Arabica,Colombia,Caturra,7.58,7.75,7.67,7.67,7.67,10.0,1750.0,0.0,Yes
307,83.75,Arabica,Colombia,Caturra,7.75,7.75,7.58,7.42,8.0,10.0,1750.0,0.11,Yes
309,83.75,Arabica,Mexico,Caturra,7.83,7.58,7.5,7.75,7.67,10.0,700.0,0.13,Yes
310,83.75,Arabica,Guatemala,Caturra,7.67,7.58,7.67,7.75,7.75,10.0,1300.0,0.11,Yes
314,83.67,Arabica,Brazil,Bourbon,7.67,7.5,7.67,7.67,7.5,10.0,890.0,0.11,Yes
315,83.67,Arabica,Other,Other,8.08,7.67,7.58,7.25,7.67,10.0,1700.0,0.11,Yes
316,83.67,Arabica,Other,Caturra,7.5,7.67,7.67,8.0,8.0,10.0,1400.0,0.1,Yes
317,83.67,Arabica,Other,Caturra,7.67,7.67,7.67,7.83,7.58,10.0,1250.0,0.1,Yes
318,83.67,Arabica,Brazil,Bourbon,7.58,7.58,7.75,7.58,7.58,10.0,934.0,0.11,Yes
319,83.67,Arabica,Taiwan,Caturra,7.5,7.33,7.92,7.83,7.67,10.0,1200.0,0.1,Yes
322,83.67,Arabica,Colombia,Caturra,7.5,7.5,7.75,7.67,7.67,10.0,1625.0,0.11,Yes
323,83.67,Arabica,Guatemala,Bourbon,8.0,7.33,8.0,8.0,8.0,10.0,1356.6648,0.1,Yes
324,83.67,Arabica,Colombia,Caturra,7.83,7.67,7.58,7.58,7.67,10.0,1750.0,0.0,Yes
325,83.67,Arabica,Colombia,Caturra,7.67,7.67,7.67,7.33,7.75,10.0,1900.0,0.0,Yes
326,83.67,Arabica,Guatemala,Bourbon,7.67,7.42,7.67,8.0,7.75,10.0,1310.64,0.12,Yes
327,83.67,Arabica,Guatemala,Bourbon,7.83,7.33,7.67,7.67,7.83,10.0,1310.64,0.11,Yes
328,83.67,Arabica,Colombia,Caturra,7.75,7.58,7.83,7.17,7.75,10.0,1750.0,0.11,Yes
329,83.67,Arabica,Guatemala,Caturra,8.17,7.83,7.67,8.08,7.75,9.33,1450.0,0.11,Yes
330,83.67,Arabica,Guatemala,Bourbon,7.67,7.5,7.42,7.58,7.83,10.0,1310.64,0.11,Yes
331,83.67,Arabica,Mexico,Typica,7.67,7.5,7.33,7.83,8.25,10.0,1100.0,0.12,Yes
332,83.67,Arabica,Other,Typica,8.17,7.58,7.58,7.42,7.67,10.0,1400.0,0.12,Yes
333,83.67,Arabica,Guatemala,Caturra,7.67,7.33,8.0,7.67,7.67,10.0,1524.0,0.1,Yes
335,83.58,Arabica,Brazil,Bourbon,7.58,7.58,7.58,7.67,7.58,10.0,890.0,0.11,Yes
336,83.58,Arabica,Guatemala,Caturra,7.75,7.5,7.83,7.58,7.58,10.0,1128.3696,0.11,Yes
338,83.58,Arabica,Other,Other,7.67,7.58,7.58,7.67,7.75,10.0,1100.0,0.1,Yes
339,83.58,Arabica,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,10.0,1775.0,0.12,Yes
340,83.58,Arabica,Mexico,Caturra,7.75,7.58,7.58,7.5,7.67,10.0,1200.0,0.12,Yes
341,83.58,Arabica,Other,Other,7.75,7.58,7.67,7.5,7.67,10.0,1850.0,0.0,Yes
342,83.58,Arabica,Other,Other,7.67,7.42,7.75,7.75,7.67,10.0,1800.0,0.12,Yes
343,83.58,Arabica,Colombia,Caturra,7.67,7.67,7.67,7.67,7.67,10.0,1600.0,0.0,Yes
344,83.58,Arabica,Colombia,Caturra,7.67,7.67,7.58,7.67,7.75,10.0,1550.0,0.12,Yes
