source,text,created_at,retweet_count,favorite_count
Twitter for Android,"My campaign for president is $35,000,000 under budget, I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",2015-12-29 09:33:51,3614,9464
Twitter for Android,.@jessebwatters is terrific at hosting on @FoxNews - he really gets it!,2015-12-28 23:39:36,1115,3796
Twitter for Android,"Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible, failed badly, and was called a racist!",2015-12-28 23:31:18,2400,5793
Twitter for iPhone,"Thank you- Nashua, New Hampshire! #MakeAmericaGreatAgain #Trump2016 
#NHPolitics #FITN https://t.co/QPj5gb3wib https://t.co/I1lMmcYk3l",2015-12-28 22:28:54,1004,3004
Twitter for iPhone,"Thank you! #Trump2016 
https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl",2015-12-28 17:51:33,1571,4737
Twitter for iPhone,Thank you to a #Trump2016 supporter for this video of my campaign- over the past 6 months. Video: https://t.co/yawywElMwa,2015-12-28 17:45:19,1473,3912
Twitter for Android,"Strange, but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes, while he will double &amp; triple them, a disaster!",2015-12-28 08:34:30,3979,9761
Twitter for Android,"Wages in are country are too low, good jobs are too few,  and people have lost faith in our leaders.We need smart and strong leadership now!",2015-12-28 07:50:23,3635,9838
Twitter for Android,"Many of the great jobs that the people of our country want are long gone, shipped to other countries. We now are part time, sad! I WILL FIX!",2015-12-28 07:42:06,2964,7975
Twitter for Android,"The middle-class has worked so hard, are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD",2015-12-28 07:30:43,3180,9155
Twitter for Android,"If Hillary thinks she can unleash her husband, with his terrible record of women abuse, while playing the women's card on me, she's wrong!",2015-12-28 07:12:10,6737,15153
Twitter for Android,Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!,2015-12-27 22:03:29,2148,6263
Twitter for Android,Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC,2015-12-27 11:59:15,2233,5562
Twitter for Android,".@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime, said that I feel wages in America are too high. Lie!",2015-12-27 11:49:55,1985,5152
Twitter for Android,The voters the Republican Party of Virginia are excluding will doom any chance of victory. The Dems LOVE IT! Be smart and win for a change!,2015-12-27 11:25:35,1734,4349
Twitter for Android,R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!,2015-12-27 11:19:51,1704,3979
Twitter for Android,"It begins, Republican Party of Virginia, controlled by the RNC, is working hard to disallow independent, unaffiliated and new voters. BAD!",2015-12-27 11:04:38,2729,5439
Twitter for Android,"I will do far more for women than Hillary, and I will keep our country safe, something which she will not be able to do-no strength/stamina!",2015-12-26 22:05:19,4101,11075
Twitter for iPhone,"Thank you! #Trump2016
https://t.co/CE9f0mukFm https://t.co/XNV9Bg2ccY",2015-12-26 21:05:01,2366,7862
Twitter for Android,"Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM, so inappropriate!",2015-12-26 19:31:07,4520,10585
Twitter for Android,A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!,2015-12-26 17:27:17,4838,10845
Twitter for iPhone,"#MakeAmericaGreatAgain #Trump2016 
Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB",2015-12-26 12:47:03,1537,4348
Twitter for Android,Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!,2015-12-26 09:11:40,4318,11047
Twitter for Android,"The Phoenix V.A., it has just been reported, is in worse shape than ever before. The wait is horrendous, and people are dying. I will fix it",2015-12-26 08:00:26,2870,8025
Twitter for Android,"The same people that said I wouldn't run, or that I wouldn't lead or do well (1st place and leading by 21%), now say I won't beat Hillary.",2015-12-25 16:49:30,5023,12650
Twitter for Android,.@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!,2015-12-25 16:42:39,1695,6108
Twitter for Android,"@CNN just announced that TRUMP was #1 story of 2015. Totally meaningless, however, if we don't WIN IT ALL and Make America Great Again!",2015-12-25 16:11:23,1355,3129
Twitter for Android,"When will the Democrats, and Hillary in particular, say ""we must build a wall, a great wall, and Mexico is going to pay for it?"" Never!",2015-12-25 15:45:06,2042,5823
Twitter for Android,"Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop, I will fix this quickly!",2015-12-25 15:31:40,3438,9374
Twitter for Android,Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.,2015-12-25 15:24:41,2169,6552
Twitter for Android,"We have many problems in our house (country!), and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!",2015-12-25 15:15:25,3395,9095
Twitter for Android,"Does everyone see that the Democrats and President Obama are now, because of me, starting to deport people who are here illegally. Politics!",2015-12-25 15:11:18,3053,8560
Twitter for Android,".@deedeesorvino was GREAT today on @FoxNews  She gets what is going on in politics, and sees it very clearly. Have her on more!",2015-12-25 14:38:17,852,3089
Twitter for Android,"Merry Christmas to all. Have a great day and have a really amazing year. Together, we will MAKE AMERICA GREAT AGAIN! It will be done!",2015-12-24 21:55:58,10303,27184
Twitter for Android,.@danielhalper  Great job on @CNN today. Very wise indeed!,2015-12-24 21:22:42,683,2824
Twitter for Android,.@HallieJackson Why didn't you report Hillary lying about the ISIS video. Bad reporting. Perhaps @NBC will do better next year-but doubt it!,2015-12-24 20:56:08,1743,5443
Twitter for Android,"I am now in Palm Beach, Florida, and will be going to church tonight. MAKE AMERICA GREAT AGAIN!",2015-12-24 18:28:54,2910,10005
Twitter for Android,".@meetthepress and @chucktodd very dishonest in not showing the new @CNN Poll where I am at 39%, 21points higher than Cruz. Be honest Chuck!",2015-12-24 18:04:08,1374,4092
Twitter for Android,Why isn't @chucktodd using the much newer @CNN Poll when discussing how well I am doing instead of the older Q Poll? CNN even better!,2015-12-24 17:56:55,1002,3568
Twitter for Android,"Wow, because of the pressure put on by me, ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!",2015-12-24 17:42:10,2748,7100
Twitter for Android,"Next year will be an interesting one. I look forward to running against Hillary Clinton, a totally flawed candidate, and beating her soundly",2015-12-24 17:35:38,9779,19618
Twitter for Android,Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!,2015-12-24 17:31:41,1230,3801
Twitter for Android,"Wow, even lowly Rand Paul has just past @JebBush in the new @CNN Poll. Jeb is at 3%, I'm at 39%. Stop throwing your money down the drain!",2015-12-24 17:20:24,2022,6066
Twitter for Android,"In the ridiculous @JebBush ad about me, Jeb is speaking to me during the debate, but doesn't allow my answer, which destroys him - SO SAD!",2015-12-24 17:14:10,1251,4910
Twitter for Android,"Poor @JebBush spent $50 million on his campaign, I spent almost nothing. He's bottom (and gone), I'm top (by a lot). That's what U.S. needs!",2015-12-24 15:10:14,4100,11126
Twitter for iPhone,"A great Christmas movie &amp; perfect #TBT! #MakeAmericaGreatAgain 
Story: https://t.co/qUpZphfhV3 https://t.co/PSeVbWUJIV",2015-12-24 14:45:35,3033,8428
Twitter for Android,"Hillary said ""I really deplore the tone and inflammatory rhetoric of his campaign."" I deplore the death and destruction she caused-stupidity",2015-12-23 22:22:59,5940,13417
Twitter for iPhone,"Merry Christmas &amp; Happy Holidays!
#MakeAmericaGreatAgain #Trump2016
https://t.co/XIVw5LdTqv https://t.co/Sqim2YyoCH",2015-12-23 20:57:28,5340,12438
Twitter for Android,"Hillary, when you complain about ""a penchant for sexism,"" who are you referring to. I have great respect for women. BE CAREFUL!",2015-12-23 18:17:09,4887,11344
Twitter for Android,It is hard to believe I am winning by so much when I am treated so badly by the media.  New @CNN Poll amazing in ALL categories. 21 pt. Lead,2015-12-23 12:20:55,3948,10895
Twitter for Android,Why does @FoxNews give @KarlRove so much airtime. He (and other Fox pundits) is so biased. Still thinks Romney won. Unfair coverage of Trump,2015-12-23 10:55:23,1602,5139
Twitter for Android,.@FoxNews treats me so badly. Using old Quinnipiac Poll where I have a much smaller lead than the just out @CNN Poll. All negative!,2015-12-23 10:49:01,1396,4417
Twitter for Android,"The @washingtonpost, which is the lobbyist (power) for not imposing taxes on #Amazon, today did a nasty cartoon attacking @tedcruz kids. Bad",2015-12-23 09:55:24,2229,5748
Twitter for iPhone,"The silent majority- is silent no more! Remember the importance of VOTING!
#MakeAmericaGreatAgain #Trump2016 https://t.co/wBdSg5ab25",2015-12-23 09:40:52,3447,6696
Twitter for Android,The Hillary Clinton staged event yesterday was pathetic. Be careful Hillary as you play the war on women or women being degraded card.,2015-12-23 09:20:57,3376,7787
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/e9dEs4HuwQ,2015-12-23 07:43:45,2676,6204
Twitter for iPhone,Thank you America! Together- we will #MakeAmericaGreatAgain! https://t.co/MWMFn4asWH,2015-12-23 07:42:25,2795,6139
Twitter for Android,Big news just out - NEW @CNN POLL  TRUMP  39 and leads in every major category. Likeability way up. CRUZ 18  CARSON 10  RUBIO 10,2015-12-23 07:02:24,1850,4890
Twitter for Android,"We need a PRESIDENT with strength, stamina, heart and incredible deal making skill if our country is ever going to be able to prosper again!",2015-12-23 01:02:10,4548,11129
Twitter for Android,It is a shame that the biased media is able to so incorrectly define a word for the public when they know that the definition is wrong. Sad!,2015-12-23 00:48:08,2184,6379
Twitter for Android,"When I said that Hillary Clinton got schlonged by Obama, it meant got beaten badly. The media knows this. Often used word in politics!",2015-12-22 22:37:51,10157,17704
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/TUDwrg6RsD,2015-12-22 22:10:19,1917,4679
Twitter for Android,"Wow, new Reuters Poll just out. Big lead if you want to MAKE AMERICA GREAT AGAIN!  TRUMP 37  CRUZ 11 This is at the top of Drudge!",2015-12-22 21:59:33,2116,5482
Twitter for iPhone,"For those on TV defending my use of the word ""schlonged,"" bc #MSM is giving it false meaning-tell them it means beaten badly. Dishonest #MSM",2015-12-22 19:52:12,2502,5613
Twitter for iPhone,"NPR's @NealConan said ""schlonged"" to WaPo re: 1984 Mondale/Ferraro campaign: ""That ticket went on to get schlonged at the polls."" #Hypocrisy",2015-12-22 19:48:24,1774,3714
Twitter for iPhone,"Once again, #MSM is dishonest. ""Schlonged"" is not vulgar. When I said Hillary got ""schlonged"" that meant beaten badly.",2015-12-22 19:47:59,4159,7452
Twitter for Android,"Jeb's big ad buy against me, paid for by lobbyists, shows my face but doesn't have me answering Jeb's statements. He is really pathetic!",2015-12-22 17:50:23,1718,5471
Twitter for Android,Watching @CNN and consider @secupp to be one of the least talented people on television. Boring and biased!,2015-12-22 17:39:11,1016,3286
Twitter for iPhone,"Women defy media narrative, love Trump at packed Michigan rally.
VIDEO: https://t.co/yreUny7shA https://t.co/dE9odwIRQi",2015-12-22 17:13:13,4220,8990
Twitter for iPhone,"Video from Michigan last night. After asking for months, the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu",2015-12-22 14:32:02,1594,4379
Twitter for iPhone,"THANK YOU America! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/x0QaqjjMj0",2015-12-22 14:06:04,1573,3705
Twitter for iPhone,"Thank you - Michigan!
#MakeAmericaGreatAgain #Trump2016 https://t.co/5GilNQKyzJ",2015-12-22 12:07:13,1063,3284
Twitter for iPhone,"Thank you - New Hampshire!
#MakeAmericaGreatAgain #Trump2016
https://t.co/VlGF418r2x https://t.co/zZleg3vnJN",2015-12-22 09:57:32,1552,4083
Twitter for iPhone,"THANK YOU Grand Rapids, Michigan! Time to end political correctness &amp; secure our homeland! https://t.co/cyRCfwxJg3 https://t.co/PPrriLTFgA",2015-12-21 21:27:59,2994,7802
Twitter for iPhone,"@HerschelWalker, thanks for your support- it is very much appreciated!",2015-12-21 17:21:47,805,1973
Twitter for Android,Getting ready to leave for Michigan - will be an amazing evening! See you there.,2015-12-21 15:08:37,1375,5104
Twitter for Android,"Do you think that Hillary Clinton will apologize to me for the lie she told about ""the video"" of me being used by ISIS. There is no video.",2015-12-21 13:51:21,3158,8461
Twitter for Android,Thanks @AndreaTantaros for all of your kind words and thoughts. Big progress is being made. Keep up the great work!,2015-12-21 13:14:38,1198,3836
Twitter for Android,A suicide bomber has just killed U.S. troops in Afghanistan. When will our leaders get tough and smart. We are being led to slaughter!,2015-12-21 13:08:46,4407,9214
Twitter for iPhone,Phyllis Schlafly: Trump is 'last hope for America' https://t.co/jCxqfVCGB6 https://t.co/sk713ir5NQ,2015-12-21 11:56:21,2492,5608
Twitter for Android,Getting ready to go to the great State of Michigan. Big crowd tonight. Make America Great Again!,2015-12-21 10:20:43,2261,6998
Twitter for Android,"Just out: TRUMP GOP DEBATE - 18,000,000. CLINTON DEMOCRAT DEBATE - 6,700,000. And they were on major network vs. cable!",2015-12-21 07:52:56,2643,6847
Twitter for Android,"Hillary said with respect to ISIS, ""we are finally where we need to be."" Do we want 4  more years of incompetent leadership?  MAGA!",2015-12-21 07:34:40,2964,7128
Twitter for Android,I demand an apology from Hillary Clinton for the disgusting story she made up about me for purposes of the debate. There never was a video.,2015-12-21 06:51:04,4509,9646
Twitter for Android,"Hillary said at debate ISIS is ""going to people showing videos in order to recruit more radical jihadistst."" She made up story-want apology!",2015-12-21 06:47:58,1739,4820
Twitter for Android,Very sad what happened last night at the Miss Universe Pageant. I sold it 6 months ago for a record price. This would never have happened!,2015-12-21 06:41:30,4909,9440
Twitter for Android,".@JebBush today said he didn't want to be the front-runner, he would rather be where he is now, 2%. That is the talk of a loser, can't win!",2015-12-20 23:42:21,3119,8076
Twitter for iPhone,"Great poll out of Illinois! Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/Fd48umfyCw",2015-12-20 23:17:30,1896,4875
Twitter for Android,".@MissUniverse final 3 on now. Great people, great new owner @IMG. WATCH.",2015-12-20 21:49:09,761,2487
Twitter for iPhone,"My friend, @AriEmanuel of @IMG, bought the Miss Universe pageants from me and they are on tonight on #Fox! Tune in!",2015-12-20 19:45:26,950,2950
Twitter for Android,It was really strange when Hillary was missing from the podium last night. Not very presidential!,2015-12-20 18:44:10,2873,7956
Twitter for Android,"Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore, Hillary LIED at the debate last night. SAD!",2015-12-20 18:37:15,5813,11941
Twitter for Android,.@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!,2015-12-20 18:13:09,2013,5550
Twitter for iPhone,"We need a #POTUS with great strength &amp; stamina. Hillary does not have that.
#Trump2016 https://t.co/n2C6bAdYNa https://t.co/cUy3VaDAGo",2015-12-20 16:21:55,2743,5742
Twitter for Android,"Hillary Clinton lied when she said that ""ISIS is using video of Donald Trump as a recruiting tool."" This was fact checked by @FoxNews: FALSE",2015-12-20 04:05:41,4676,9582
Twitter for Android,.@GStephanopoulos stupidly believes that Hillary wants to run against me because she said so. She says that so people believe it - opposite!,2015-12-19 22:44:41,1685,4276
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/7FkgBAqF4A,2015-12-19 18:46:38,3471,7311
Twitter for iPhone,Thank you America! @FoxNews post-debate poll with +/- from previous poll. #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/KorKlSr01P,2015-12-19 18:23:32,2753,6526
Twitter for iPhone,"Thank you Cedar Rapids, Iowa!
#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45",2015-12-19 17:28:10,1649,4188
Twitter for Android,"President Obama spends so much time speaking of the so-called Carbon footprint, and yet he flies all the way to Hawaii on a massive old 747.",2015-12-19 14:25:05,6539,14433
Twitter for Android,"See, Sanders backed Hillary on E-mails at the debate, hurting himself, and then she threw him under the bus (but failed). Disloyal person!",2015-12-19 10:56:51,4517,10549
Twitter for iPhone,"Another new post-debate poll. 
THANK YOU! #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/Pa9PCuPbyr",2015-12-18 19:15:22,2137,5056
Twitter for iPhone,Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ,2015-12-18 18:14:08,3661,9012
Twitter for Android,The last thing our country needs is another BUSH! Dumb as a rock!,2015-12-18 15:59:05,6192,12511
Twitter for iPhone,"#MakeAmericaGreatAgain #Trump2016
https://t.co/PUGaxGCASM https://t.co/1O67oFDofU",2015-12-18 15:24:37,1616,3574
Twitter for iPhone,"As I have been saying. Only the beginning: ""ISIS Suspects Arrested in Turkey, 150 European Passports Seized."" https://t.co/55NWoy7OHG",2015-12-18 11:45:10,2851,5325
Twitter for iPhone,"New Reuters poll - thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/zOe0gDe0AJ",2015-12-18 00:09:16,1893,4361
Twitter for iPhone,#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil! https://t.co/vObIAhilWs https://t.co/teKBaKdXzK,2015-12-17 23:09:33,4550,9833
Twitter for iPhone,There is no question who will handle the threat of terrorism best as #POTUS. #Trump2016 https://t.co/frS7alctbB https://t.co/0P4qSnAltb,2015-12-17 20:17:53,3135,6521
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/uJu4zrzXL8,2015-12-17 04:11:19,2799,6669
Twitter for iPhone,Thank you! #MakeAmericaGreatAgain https://t.co/xkki2M6ht1,2015-12-17 03:37:12,4743,9788
Twitter for iPhone,Will be on @jimmykimmel in 20 minutes on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain,2015-12-16 23:12:37,979,3624
Twitter for iPhone,.@GlennBeck got fired like a dog by #Fox. The Blaze is failing and he wanted to have me on his show. I said no - because he is irrelevant.,2015-12-16 23:09:39,2951,7341
Twitter for iPhone,"I will be doing @oreillyfactor tonight at 8:00pmE from Mesa, Arizona - will be talking about the #GOPDebate &amp; more. https://t.co/Z3fVfHCKIo",2015-12-16 19:57:20,1334,4917
Twitter for iPhone,Will be on @jimmykimmel tonight at 11:35pmE on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain,2015-12-16 19:43:57,1261,3483
Twitter for iPhone,"Clear winner of the #GOPDebate. Thank you for your support! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/dl6IuSHwtK",2015-12-16 14:20:48,3760,8124
Twitter for Android,"Hillary Clinton is weak and ineffective - no strength, no stamina.",2015-12-16 10:29:30,5988,12686
Twitter for Android,"Jeb Bush had a tough night at the debate. Now he'll probably take some of his special interest money, he is their puppet, and buy ad's.",2015-12-16 10:20:57,2590,7323
Twitter for Android,"Thank you for the nice words @ktmcfarland. The debate was interesting, and fun. Keep up the great work!",2015-12-16 09:58:14,835,2811
Twitter for Android,"Will be interviewed on the @oreillyfactor tonight at 8:00 P.M. Will be talking about the debate, and more!",2015-12-16 09:53:20,1125,3452
Twitter for Android,Bill O'Reilly calls Trump and  campaign brilliant. In first place by 27 points.,2015-12-16 08:49:35,2030,5779
Twitter for Android,".@MarkHalperin works so hard but just doesn't have a natural instinct for politics. Others do, and those are the people you want to follow!",2015-12-16 08:46:22,804,2326
Twitter for Android,Thank you @davidaxelrod for your nice words this morning on @CNN. It was a good night!,2015-12-16 08:40:25,878,2970
Twitter for Android,"Thank you, so many people have given me credit for winning the debate last night. All polls agree. It was fun and interesting!",2015-12-16 08:29:47,2578,8767
Twitter for iPhone,"Thank you, @FrankLuntz - for saying I was a winner tonight. It is my great honor. #Trump2016",2015-12-15 23:21:22,2875,8869
Twitter for iPhone,"We're not talking about religion; we're talking about security. #GOPDebate
https://t.co/OhI1qXEOzC",2015-12-15 21:12:32,3260,7586
Twitter for iPhone,"#GOPDebate #Trump2016
https://t.co/czHzN0QkQN",2015-12-15 21:05:49,1017,3134
Twitter for iPhone,Departing for #GOPDebate. Let's #MakeAmericaGreatAgain! https://t.co/nMNilyuL2F https://t.co/Bwyu1U3rHU,2015-12-15 20:21:17,2140,5481
Twitter for Android,Highly respected PUBLIC POLICY POLLING (PPP) just announced that I am number one in IOWA. Thank you!,2015-12-15 18:12:52,1696,4852
Twitter for iPhone,New PPP poll just released in Iowa- up 6 points from last poll. Leading w/ 28%! Don't worry - media won't report it! https://t.co/yjWiLBGUpm,2015-12-15 16:43:24,1908,4766
Twitter for iPhone,".@ConradMBlack, what an honor to read your piece. As one of the truly great intellects &amp; my friend, I won't forget! https://t.co/3FGB0NyfaO",2015-12-15 16:30:13,1373,3052
Twitter for iPhone,"#TheRemembranceProject
https://t.co/zMW0mkkFEg https://t.co/XHIweo9LWG",2015-12-15 13:34:04,1344,3181
Twitter for Android,. #JoeTheismann was great as a political analyst on @FoxNews. He knows far more than football. Thanks for the nice words Joe!,2015-12-15 12:38:52,1018,3237
Twitter for Android,"I won every debate so far according to all debate polls including @DRUDGE_REPORT, @TIME @Slate and more. Too bad dopey @megynkelly lies!",2015-12-15 12:23:03,1503,4210
Twitter for Android,"Between Iraq war monger @krauthammer, dummy @KarlRove, deadpan @GeorgezWill, highly overrated @megynkelly, among others, @FoxNews not fair!",2015-12-15 12:12:39,1376,3368
Twitter for Android,"I am in Trump International Hotel, Las Vegas, getting ready and waiting for the debate tonight. Look forward -   hope I get treated fairly!",2015-12-15 10:47:29,1866,6357
Twitter for Android,I wonder if @megynkelly and her flunkies have written their scripts yet about my debate performance tonight. No matter how well I do - bad!,2015-12-15 10:40:47,1489,4338
Twitter for Android,.@megynkelly is very bad at math. She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 41to14.,2015-12-15 10:34:25,1440,3925
Twitter for Android,".@megynkelly, the most overrated anchor at @FoxNews, worked hard to explain away the new Monmouth poll 41 to 14 or 27 pt lead. She said 15!",2015-12-15 10:30:25,1214,3257
Twitter for Android,Why isn't anyone using the @CNN Iowa Poll with me having a big lead. They only want to use the one negative poll (2nd place).Dishonest press,2015-12-15 09:54:17,1665,4786
Twitter for Android,"Isn't it amazing that @CNN paid a fortune for an Iowa Poll, which shows me in first place over Cruz by 13%, 33% to 20% - then doesn't use it",2015-12-15 09:47:56,2014,5201
Twitter for Android,"Wow, I just had two very good Iowa polls and a phenomenal just out National Poll from @ABC @washingtonpost - 38%.  MAKE AMERICA GREAT AGAIN!",2015-12-15 09:29:02,1535,3861
Twitter for iPhone,"Thank you for your support! #MakeAmericaGreatAgain #Trump2016
https://t.co/yohiKUsL3V",2015-12-15 08:58:12,1039,3165
Twitter for iPhone,"What an evening in Las Vegas, Nevada! THANK YOU for your continued support. #Trump2016 https://t.co/uUwRk7RuGK https://t.co/J0qJaIg35u",2015-12-15 00:06:49,1824,5212
Twitter for iPhone,"@oreillyfactor, horrible defense of me against highly overrated @krauthammer. I will bring more people into the party &amp; easily beat Hillary!",2015-12-14 20:51:46,935,2127
Twitter for iPhone,Why doesn't @CNN use the #CNN Iowa poll? @andersoncooper @andydean2014,2015-12-14 20:16:53,1149,3315
Twitter for iPhone,Thank you @CarlHigbie. Great work on @CNN. #Trump2016,2015-12-14 19:27:28,734,2197
Twitter for iPhone,Thank you @hardball_chris for your nice words. They are very much appreciated. I fully understand that you really get it.,2015-12-14 19:20:55,985,2964
Twitter for iPhone,"#MakeAmericaGreatAgain #Trump2016
https://t.co/yjAIiFuVWm https://t.co/dfH0ABwZk0",2015-12-14 18:36:03,1056,3251
