,Salnty,T_degC
221,33.916,6.98
222,33.44,10.5
223,34.385,3.08
224,33.95,6.05
225,32.882,11.61
226,33.8,7.64
227,34.43,3.14
228,33.86,8.71
229,33.957,5.95
230,34.169,4.11
231,33.91,6.61
232,33.746,8.32
233,33.62,8.24
234,33.876,8.53
235,34.18,4.89
236,33.4,11.77
237,34.12,4.11
238,34.29,4.21
239,34.13,6.24
240,33.605,8.37
241,33.75,6.38
242,33.158,12.64
243,34.25,4.1
244,33.631,8.26
245,34.31,4.44
246,33.212,12.66
247,34.0,5.86
248,33.86,8.16
249,32.75,10.5
250,34.374,3.11
251,33.898,8.25
252,33.847,8.76
253,34.252,3.89
254,33.494,9.86
255,33.44,10.45
256,33.042,12.25
257,32.97,12.0
258,33.98,5.94
259,33.55,8.56
260,32.86,11.66
261,33.988,6.54
262,32.736,9.66
263,33.42,10.45
264,34.378,3.62
265,33.934,5.93
266,34.188,4.62
267,33.44,10.46
268,33.98,7.96
269,34.2,4.32
270,34.21,5.01
271,33.057,12.64
272,33.17,12.64
273,33.939,6.85
274,32.74,9.29
275,32.94,8.86
276,33.356,9.36
277,34.266,3.84
278,34.285,3.65
279,32.9,11.36
280,32.765,9.62
281,34.03,6.99
282,33.425,8.83
283,32.77,11.5
284,34.304,3.58
285,32.88,11.6
286,34.086,4.38
287,32.838,11.58
288,32.673,9.92
289,33.058,10.56
290,34.073,5.09
291,33.844,7.58
292,33.665,8.71
293,34.34,3.83
294,33.13,12.2
295,33.17,12.5
296,32.967,9.32
297,33.78,7.5
298,34.363,3.28
299,32.81,11.52
